subject,modality,phase,MD_mean,ND_baseline,delta
T002,Breathing.Rate,P2,-0.12652218205706453,-2.5951812767056555e-16,-0.12652218205706428
T003,Breathing.Rate,P2,0.895901837939238,-1.4512411313933081e-15,0.8959018379392395
T004,Breathing.Rate,P2,0.11362727503268219,-1.107560619290324e-15,0.1136272750326833
T005,Breathing.Rate,P2,1.0253388208659795,7.451384494862474e-16,1.0253388208659788
T006,Breathing.Rate,P2,0.17577090632440204,1.5401391745863874e-15,0.1757709063244005
T007,Breathing.Rate,P2,1.2181639733820488,-8.483752894958943e-16,1.2181639733820497
T008,Breathing.Rate,P2,0.6919120006990991,-3.166764281939165e-16,0.6919120006990994
T009,Breathing.Rate,P2,1.2984771245316007,-2.226243558517285e-16,1.298477124531601
T010,Breathing.Rate,P2,-0.4687941163707385,-5.396527107038736e-16,-0.4687941163707379
T011,Breathing.Rate,P2,-0.4561982085319302,7.459766254699214e-16,-0.45619820853193094
T012,Breathing.Rate,P2,0.8650038030083659,-4.011847316085886e-16,0.8650038030083663
T013,Breathing.Rate,P2,0.328204210647563,-5.075305255429287e-16,0.3282042106475635
T014,Breathing.Rate,P2,1.1273702250665258,1.7496264355241865e-16,1.1273702250665256
T015,Breathing.Rate,P2,0.7648824710306664,-2.2676895822130855e-16,0.7648824710306666
T016,Breathing.Rate,P2,-0.08345418679795646,-3.7996937741181827e-16,-0.08345418679795609
T017,Breathing.Rate,P2,0.5651276636437285,-5.355369206267242e-16,0.565127663643729
T018,Breathing.Rate,P2,-0.18461116830726812,-2.91360116515385e-16,-0.18461116830726784
T019,Breathing.Rate,P2,0.5406930012547668,-3.242020087118328e-16,0.5406930012547672
T020,Breathing.Rate,P2,0.6717598807960138,5.766184504859452e-16,0.6717598807960132
T021,Breathing.Rate,P2,-0.4668514568670059,2.4244240327772447e-16,-0.46685145686700613
T022,Breathing.Rate,P2,0.8939615289908787,6.261487709763335e-16,0.893961528990878
T023,Breathing.Rate,P2,1.276993340941539,5.473231527175463e-16,1.2769933409415386
T024,Breathing.Rate,P2,0.798381570074366,-8.050945359073598e-16,0.7983815700743668
T025,Breathing.Rate,P2,0.05709757554243419,-2.1751308237554087e-16,0.05709757554243441
T027,Breathing.Rate,P2,-0.190635092331404,-6.640586315514955e-16,-0.19063509233140333
T029,Breathing.Rate,P2,0.16766689188960027,1.1569216864479242e-16,0.16766689188960016
T031,Breathing.Rate,P2,0.4606026464476335,-2.7560445508270553e-16,0.46060264644763377
T033,Breathing.Rate,P2,0.20038732956289435,6.832141690000964e-16,0.20038732956289365
